,variable,mean,lower_bound,upper_bound
427,427,0.3,0.0,1.549999999999999
428,428,0.5,0.0,1.549999999999999
429,429,0.3,0.0,1.0
430,430,0.6,0.0,2.0
431,431,0.2,0.0,1.0
432,432,0.1,0.0,0.5499999999999989
433,433,0.3,0.0,1.0
434,434,0.2,0.0,1.0
435,435,0.5,0.0,1.0
436,436,0.3,0.0,1.0
437,437,0.2,0.0,1.0
438,438,0.3,0.0,1.549999999999999
439,439,0.4,0.0,1.549999999999999
440,440,0.4,0.0,1.0
441,441,0.4,0.0,1.549999999999999
442,442,0.6,0.0,1.549999999999999
443,443,0.5,0.0,1.0
444,444,0.4,0.0,2.0
445,445,0.4,0.0,1.549999999999999
446,446,0.3,0.0,1.549999999999999
447,447,0.3,0.0,1.549999999999999
448,448,0.6,0.0,1.549999999999999
449,449,0.4,0.0,1.0
450,450,0.2,0.0,1.0
451,451,0.2,0.0,1.0
452,452,0.3,0.0,1.0
453,453,0.4,0.0,1.0
454,454,0.4,0.0,1.0
455,455,0.2,0.0,1.0
456,456,0.3,0.0,1.0
457,457,0.2,0.0,1.0
458,458,0.3,0.0,1.0
459,459,0.4,0.0,1.0
460,460,0.3,0.0,1.0
461,461,0.2,0.0,1.0
462,462,0.4,0.0,1.0
463,463,0.5,0.0,1.0
464,464,0.6,0.0,1.0
465,465,0.4,0.0,1.0
466,466,0.5,0.0,1.549999999999999
467,467,0.3,0.0,1.0
468,468,0.7,0.0,2.0
469,469,0.2,0.0,1.0
470,470,0.4,0.0,1.549999999999999
471,471,0.4,0.0,1.0
472,472,0.4,0.0,1.0
473,473,0.4,0.0,1.0
474,474,0.1,0.0,0.5499999999999989
475,475,0.3,0.0,1.0
476,476,0.3,0.0,1.0
477,477,0.2,0.0,1.0
478,478,0.3,0.0,1.0
479,479,0.4,0.0,1.549999999999999
480,480,0.4,0.0,1.0
481,481,0.5,0.0,1.549999999999999
482,482,0.6,0.0,1.549999999999999
483,483,0.4,0.0,1.0
484,484,0.1,0.0,0.5499999999999989
485,485,0.1,0.0,0.5499999999999989
486,486,0.3,0.0,1.549999999999999
487,487,0.1,0.0,0.5499999999999989
488,488,0.4,0.0,1.0
489,489,0.4,0.0,1.0
490,490,0.4,0.0,1.0
491,491,0.5,0.0,1.0
492,492,0.4,0.0,1.549999999999999
493,493,0.3,0.0,1.0
494,494,0.4,0.0,1.0
495,495,0.4,0.0,1.0
496,496,0.4,0.0,1.0
497,497,0.1,0.0,0.5499999999999989
