,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
36,38,3,1.0,3.0,3.0,2.0,1.0,2.0,4.0,1.0,3.0,6.0,3.0,1.0,3.0,2.0,4.0,2.0,4.0,2.0,3.0,6.0,4.0,6.0,3.0,8.0,1.0,2.0,2.0,8.0,0.0
37,39,2,3.0,2.0,6.0,2.0,1.0,8.0,2.0,5.0,5.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,6.0,1.0,3.0,2.0,8.0,2.0,6.0,10.0,3.0,2.0,1.0,10.0,0.0
38,40,2,1.0,8.0,3.0,1.0,5.0,4.0,1.0,1.0,1.0,4.0,6.0,1.0,3.0,5.0,7.0,5.0,6.0,3.0,5.0,3.0,8.0,9.0,3.0,5.0,9.0,0.0,0.0,0.0,0.0
39,41,3,2.0,3.0,2.0,3.0,2.0,4.0,5.0,6.0,2.0,5.0,5.0,1.0,1.0,4.0,3.0,3.0,2.0,5.0,2.0,4.0,2.0,3.0,10.0,2.0,2.0,2.0,10.0,0.0,0.0
40,43,2,4.0,2.0,1.0,1.0,6.0,1.0,4.0,2.0,6.0,2.0,4.0,3.0,2.0,3.0,6.0,2.0,3.0,1.0,3.0,1.0,5.0,4.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0
41,44,1,3.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,8.0,2.0,4.0,2.0,3.0,1.0,5.0,3.0,3.0,2.0,3.0,4.0,7.0,3.0,3.0,3.0,7.0,0.0,0.0,0.0,0.0
42,46,1,1.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,5.0,2.0,3.0,3.0,7.0,2.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
43,47,2,2.0,2.0,2.0,8.0,4.0,7.0,2.0,8.0,2.0,1.0,4.0,5.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
44,50,1,1.0,1.0,4.0,4.0,2.0,4.0,4.0,2.0,1.0,4.0,2.0,2.0,5.0,8.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
45,51,3,1.0,4.0,2.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,6.0,5.0,2.0,3.0,5.0,4.0,2.0,3.0,2.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0
46,52,3,4.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,1.0,1.0,2.0,5.0,2.0,3.0,4.0,1.0,2.0,3.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,53,3,6.0,3.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,3.0,3.0,4.0,1.0,2.0,4.0,6.0,2.0,3.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0
48,54,3,5.0,1.0,3.0,3.0,1.0,6.0,3.0,5.0,2.0,1.0,3.0,3.0,3.0,4.0,5.0,1.0,2.0,6.0,2.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,55,5,4.0,2.0,1.0,2.0,1.0,2.0,8.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,7.0,10.0,1.0,1.0,8.0,1.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0
50,56,3,1.0,2.0,1.0,2.0,1.0,5.0,2.0,7.0,1.0,2.0,2.0,1.0,2.0,6.0,2.0,7.0,1.0,5.0,4.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
51,58,1,2.0,1.0,1.0,3.0,5.0,4.0,5.0,5.0,1.0,5.0,1.0,5.0,3.0,2.0,1.0,4.0,1.0,8.0,3.0,7.0,5.0,7.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0
52,59,3,3.0,1.0,2.0,3.0,1.0,6.0,4.0,4.0,5.0,1.0,4.0,1.0,3.0,8.0,4.0,1.0,4.0,1.0,8.0,6.0,8.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0
53,61,1,1.0,1.0,3.0,6.0,6.0,2.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,6.0,2.0,6.0,6.0,6.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
54,62,1,3.0,2.0,2.0,3.0,2.0,4.0,9.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,2.0,5.0,1.0,4.0,9.0,4.0,2.0,2.0,3.0,3.0,2.0,0.0,0.0
55,63,2,1.0,1.0,1.0,1.0,1.0,6.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,6.0,2.0,1.0,3.0,8.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0
56,64,3,1.0,2.0,5.0,6.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
57,65,5,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
58,66,3,1.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,6.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0
59,67,4,2.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
60,68,5,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,9.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,69,5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,7.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,70,6,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,71,1,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,3.0,1.0,5.0,2.0,5.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
64,72,4,5.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,3.0,3.0,4.0,1.0,6.0,1.0,6.0,1.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,73,6,5.0,2.0,1.0,3.0,3.0,6.0,2.0,6.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,6.0,3.0,6.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
